id	filename	md5	size	state
7ed6b1fd-6775-47c3-bac2-c36477e93ee4	nationwidechildrens.org_clinical.TCGA-W5-AA2Z.xml	0413db173526db8f4ae946ba88faf0f5	58460	released
6a5288c8-c7cc-409f-90c0-c6cd10ca6d1e	nationwidechildrens.org_clinical.TCGA-4G-AAZR.xml	672ee071df1bf752e2bbf3c26237fd53	31592	released
2646599b-4e66-4a07-8235-34c95975d601	nationwidechildrens.org_clinical.TCGA-W6-AA0S.xml	0103d6c2202d738ad06682e9c0b6e660	58916	released
7db05001-9c20-40a8-a07e-b02163002c8d	nationwidechildrens.org_clinical.TCGA-W6-AA0T.xml	0ee0085a51bbd79e9890b602a731e44f	31683	released
c97428aa-0640-437b-8e3f-39e5bfc1ec34	nationwidechildrens.org_clinical.TCGA-W5-AA2G.xml	28e9f7eedee5463080ec6e60bbd51543	40895	released
3b81c33c-36cc-4777-abcf-07e92549fc7a	nationwidechildrens.org_clinical.TCGA-W5-AA38.xml	6baa3ac402e62b9262c08311961027c7	39799	released
ee312b27-5294-48d0-85ba-22709307b0e4	nationwidechildrens.org_clinical.TCGA-3X-AAV9.xml	f62bf31184c0d62ad04639b0cb2b40b2	47934	released
e24ee863-4f65-4e66-96ab-67f967f30741	nationwidechildrens.org_clinical.TCGA-W5-AA2J.xml	d4490d25458b5c2aab019d2c0e2cf942	31600	released
d63d0393-f001-4a59-8771-42fe3826d0c3	nationwidechildrens.org_clinical.TCGA-W7-A93O.xml	9cf5d09e1f0c8052eab3f140a6207860	31709	released
6f34de63-f7b4-455b-a0ca-bd66b2aee9b8	nationwidechildrens.org_clinical.TCGA-ZU-A8S4.xml	9a797a756e7d9d5787bb3f8df6aee810	35254	released
db33f30c-c2ac-46b1-a8f1-6c796d698226	nationwidechildrens.org_clinical.TCGA-W5-AA2X.xml	480d9f8c3035c60ec46cd4ebcb6af8f9	31742	released
f9f8edc5-f085-485b-bed1-d143f000836c	nationwidechildrens.org_clinical.TCGA-4G-AAZT.xml	ecaaa87613ba03c971bfefdb6f693959	39195	released
